movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
Predator,,R,"['Action', ' Adventure', ' Horror']",107,7.8,47,440376,78.0
Star Wars: Episode VII - The Force Awakens,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",138,7.8,80,955608,78.0
Teenage Mutant Ninja Turtles,,PG-13,"['Action', ' Adventure', ' Comedy']",101,5.8,31,216790,58.0
V for Vendetta,,R,"['Action', ' Drama', ' Sci-Fi']",132,8.2,62,1152686,82.0
Sonic the Hedgehog 2,,PG,"['Action', ' Adventure', ' Comedy']",122,6.5,47,79082,65.0
Passengers,,PG-13,"['Drama', ' Romance', ' Sci-Fi']",116,7.0,41,429010,70.0
Transformers: The Last Knight,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,5.2,27,163637,52.0
Battleship,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,5.8,41,254064,58.0
The Mist,,R,"['Horror', ' Sci-Fi', ' Thriller']",126,7.1,58,327704,71.0
Pixels,,PG-13,"['Action', ' Comedy', ' Fantasy']",105,5.6,27,153522,56.0
Knights of the Zodiac,,PG-13,"['Action', ' Adventure', ' Drama']",112,4.3,35,8070,43.0
E.T. the Extra-Terrestrial,,PG,"['Adventure', ' Family', ' Sci-Fi']",115,7.9,92,425770,79.0
Black Panther,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88,813888,73.0
Divergent,,PG-13,"['Action', ' Adventure', ' Mystery']",139,6.6,48,476665,66.0
Aquaman,,PG-13,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,500429,68.0
The Cell,,R,"['Crime', ' Horror', ' Sci-Fi']",107,6.4,40,106641,64.0
Children of Men,,R,"['Action', ' Drama', ' Sci-Fi']",109,7.9,84,516571,79.0
Transformers: Age of Extinction,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",165,5.6,32,326369,56.0
Logan,,R,"['Action', ' Drama', ' Sci-Fi']",137,8.1,77,802200,81.0
Mars Attacks!,,PG-13,"['Comedy', ' Sci-Fi']",106,6.4,52,237047,64.0
Black Widow,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,6.7,68,406846,67.0
Star Wars: Episode II - Attack of the Clones,,PG,"['Action', ' Adventure', ' Fantasy']",142,6.6,54,738471,66.0
A Quiet Place Part II,,PG-13,"['Drama', ' Horror', ' Sci-Fi']",97,7.2,71,257221,72.0
Brightburn,,R,"['Drama', ' Horror', ' Mystery']",90,6.1,44,104121,61.0
The Platform,,TV-MA,"['Horror', ' Sci-Fi', ' Thriller']",94,7.0,73,254089,70.0
Shang-Chi and the Legend of the Ten Rings,,PG-13,"['Action', ' Adventure', ' Fantasy']",132,7.4,71,414011,74.0
Valerian and the City of a Thousand Planets,,PG-13,"['Action', ' Adventure', ' Fantasy']",136,6.4,51,191558,64.0
